"0000000000060100",0,2,7,0,"x","000000000000E028",1,3,3,0,"x","0000000000078080",2,4,5,0,"x","0000000000006018",3,0,3,0,,"00000000020101C0",4,0,6,0,"x","0004610400000000",5,1,0,4,"x","0000000002030180",6,0,6,0,"x","000010E080000000",7,0,3,3,,"0000000000180802",8,2,0,0,"x","00000C7000000000",9,6,2,4,"x","0000000000003C00",10,0,0,1,,"0001E80000000000",11,4,0,5,"x"
"0000000000030080",0,2,6,0,"x","0000000000007014",1,3,2,0,"x","0000000000078040",2,2,5,0,"x","0000000303000000",3,0,5,2,,"0000000202070000",4,0,6,1,"x","0000000187000000",5,2,4,2,"x","0000000006018020",6,3,5,0,"x","000000000101C020",7,0,4,0,,"00000000000401C0",8,1,6,0,"x","00000061C0000000",9,6,3,3,"x","0004420800000000",10,1,1,4,,"0000000000007810",11,4,1,0,"x"
"0000000000030040",0,3,6,0,"x","00000000000380A0",1,3,5,0,"x","0056200000000000",2,3,0,6,"x","0000000003018000",3,0,5,1,,"005E000000000000",4,0,0,7,"x","0000006380000000",5,2,3,3,"x","0000000003030080",6,2,5,0,"x","0000000081C04000",7,0,3,1,,"0000000004020180",8,0,7,0,"x","0004C60000000000",9,3,1,5,"x","0002210400000000",10,1,0,4,,"0032210000000000",11,5,0,5,"x"
"0032000000000000",0,3,0,7,"x","000000000001C050",1,3,4,0,"x","0000000000003C02",2,2,0,0,"x","0000000006030000",3,0,6,1,,"0012E00000000000",4,0,0,6,"x","00000CE000000000",5,2,2,4,"x","0000000183010000",6,2,4,1,"x","0000021C10000000",7,0,0,3,,"0000004380000000",8,7,4,3,"x","0036200000000000",9,5,0,6,"x","0000210408000000",10,1,0,3,,"00000C1020200000",11,5,2,2,
"0000000000000C02",0,2,0,0,"x","0000000003010060",1,2,5,0,"x","0001E20000000000",2,2,0,5,"x","00000000000300C0",3,0,6,0,,"0001C82000000000",4,2,1,4,,"0000DC0000000000",5,2,1,5,"x","000C610000000000",6,3,0,5,"x","0000000838100000",7,0,0,2,,"000008E000000000",8,7,3,4,"x","0016600000000000",9,3,0,6,"x","000000F000000000",10,0,2,4,,"0000003020201000",11,5,2,1,
"0000000000040180",0,1,7,0,"x","0034600000000000",1,2,0,6,"x","0001086040000000",2,3,3,3,"x","0000000181800000",3,0,4,2,,"00000E2040000000",4,2,1,3,,"00088C2000000000",5,7,2,4,"x","0000000006060100",6,2,6,0,"x","0000000207010000",7,0,5,1,,"00009C0000000000",8,7,2,5,"x","0000000183800000",9,6,4,2,"x","0000000010100802",10,1,1,0,,"0000060810100000",11,5,1,2,
"0034000000000000",0,2,0,7,"x","000000000000380A",1,3,1,0,"x","0000104180800000",2,3,4,2,"x","000000000180C000",3,0,4,1,,"0000000000381004",4,2,0,0,,"0024C40000000000",5,7,1,5,"x","0000CC2000000000",6,2,1,4,"x","0000000000203804",7,0,1,0,,"0000000002070000",8,7,6,1,"x","0000000000070180",9,4,6,0,"x","0052200000000000",10,1,0,6,,"0000006040402000",11,5,3,1,
"0006400000000000",0,2,0,6,"x","0000000000001C05",1,3,0,0,"x","0024C20000000000",2,3,1,5,"x","0000000000018060",3,0,5,0,,"0000000000E04010",4,2,2,0,,"0056400000000000",5,7,0,6,"x","003C800000000000",6,2,0,6,"x","0000008381000000",7,0,4,2,,"00000000000101C0",8,7,6,0,"x","0036400000000000",9,1,0,6,"x","0000000000780000",10,0,0,2,,"00000000C0402008",11,5,3,0,
"0004C00000000000",0,0,1,6,"x","0032600000000000",1,0,0,6,"x","00088C1000000000",2,3,2,4,"x","000000C180000000",3,0,4,3,,"00000000E0804000",4,2,2,1,,"0000004181008000",5,5,4,1,"x","0000006181000000",6,2,3,2,"x","0000000010380800",7,0,0,1,,"0000000107000000",8,7,5,2,"x","0000000003018040",9,1,5,0,"x","000000000000000F",10,0,0,0,,"0001841020000000",11,5,2,3,
"0016000000000000",0,0,0,7,"x","00001840C0000000",1,2,3,3,,"0000000002078000",2,6,5,1,"x","0000003060000000",3,0,2,3,,"0000007080800000",4,2,2,2,,"0000000202030080",5,7,6,0,"x","00000C6080000000",6,2,2,3,"x","0009C40000000000",7,0,1,5,,"0000000000070100",8,5,6,0,"x","0000000003038000",9,6,5,1,"x","0000004080804000",10,1,4,1,,"0000001810100800",11,5,1,1,
